emp_length,homeownership,annual_income,verified_income,debt_to_income,credit_checks,total_credit_limit,total_credit_utilized,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,issue_month
3,MORTGAGE,36000,Not Verified,21.43,1,36231,22100,0,car,5000,36,12.62,C,Jan-18
6,OWN,65000,Not Verified,16.05,0,132676,122541,0,other,10000,36,13.58,C,Mar-18
3,RENT,45000,Not Verified,10.85,0,39653,26911,0,credit_card,8000,36,15.05,C,Jan-18
0,RENT,45000,Source Verified,46.29,2,127762,99634,0,credit_card,25050,60,9.92,B,Mar-18
10,MORTGAGE,70000,Source Verified,21.72,0,285190,59263,0,credit_card,25000,36,9.44,B,Feb-18
8,MORTGAGE,68000,Source Verified,18.03,0,83513,26617,0,debt_consolidation,5000,36,15.05,C,Jan-18
10,RENT,60000,Not Verified,14.08,2,31100,20504,0,debt_consolidation,20000,36,12.62,C,Jan-18
5,MORTGAGE,87000,Source Verified,3.43,0,294946,4761,0,debt_consolidation,12800,36,9.44,B,Jan-18
NA,RENT,0,Not Verified,NA,1,32545,9295,0,debt_consolidation,18000,36,15.05,C,Feb-18
9,MORTGAGE,102000,Verified,4.1,3,434000,16168,0,home_improvement,24000,36,7.35,A,Feb-18
4,MORTGAGE,97000,Source Verified,18.61,10,257483,55837,0,credit_card,25000,60,11.99,B,Feb-18
NA,RENT,48000,Verified,22.33,0,40080,17557,0,debt_consolidation,5000,36,10.9,B,Mar-18
10,MORTGAGE,165000,Source Verified,22.35,1,375959,150580,0,credit_card,20375,36,9.43,B,Mar-18
10,MORTGAGE,48000,Source Verified,14.7,1,27200,15695,0,home_improvement,11000,36,10.42,B,Feb-18
10,MORTGAGE,45000,Not Verified,25.39,1,191318,41347,0,credit_card,25000,60,12.62,C,Jan-18
6,MORTGAGE,46000,Not Verified,18.18,0,45200,14718,0,debt_consolidation,9000,36,12.61,C,Mar-18
5,MORTGAGE,72000,Verified,27.52,0,198398,40935,0,credit_card,24000,60,14.08,C,Jan-18
3,RENT,90000,Not Verified,14.62,1,189700,145719,0,debt_consolidation,19000,60,15.05,C,Jan-18
NA,OWN,25400,Not Verified,11.29,0,11100,7804,0,credit_card,8000,36,9.93,B,Jan-18
1,MORTGAGE,55000,Not Verified,26.73,1,222385,65415,0,credit_card,15000,60,9.92,B,Mar-18
7,RENT,53953,Source Verified,21.08,0,104932,83167,0,car,7000,36,9.44,B,Feb-18
8,RENT,32000,Source Verified,5.85,3,11704,11929,3,other,8000,36,18.06,D,Feb-18
10,MORTGAGE,59000,Not Verified,29.84,2,82103,42833,0,home_improvement,5500,36,10.91,B,Feb-18
10,RENT,150000,Source Verified,4.95,1,152164,94482,0,debt_consolidation,17000,60,21.85,D,Feb-18
10,RENT,48000,Source Verified,32.18,0,58100,42709,0,credit_card,15000,36,25.82,E,Feb-18
2,MORTGAGE,129000,Source Verified,16.45,1,465849,83755,0,debt_consolidation,12000,36,9.92,B,Mar-18
NA,RENT,82000,Source Verified,6.2,3,19522,14910,1,debt_consolidation,24000,60,20,D,Jan-18
10,MORTGAGE,90000,Not Verified,24.89,3,301204,76366,0,credit_card,20000,36,7.97,A,Jan-18
2,RENT,120000,Source Verified,7.73,4,35408,23962,1,home_improvement,35000,36,14.08,C,Jan-18
10,MORTGAGE,95000,Not Verified,22.9,0,215166,67013,0,debt_consolidation,24000,60,12.62,C,Jan-18
4,RENT,42000,Verified,21.77,1,63951,40181,0,other,15500,60,10.42,B,Feb-18
1,RENT,50000,Source Verified,0.6,4,5700,1225,0,major_purchase,18000,60,18.45,D,Mar-18
2,RENT,62000,Not Verified,5.65,1,18600,6134,1,credit_card,4000,36,13.59,C,Jan-18
NA,RENT,20000,Verified,17.53,0,40300,12013,0,other,15000,36,6.08,A,Feb-18
10,MORTGAGE,53774,Verified,29.23,0,124874,83699,0,other,25000,60,21.45,D,Feb-18
NA,RENT,19200,Verified,10.56,1,14700,6238,0,debt_consolidation,8000,36,10.42,B,Feb-18
3,MORTGAGE,50000,Verified,13.79,3,220796,17446,0,debt_consolidation,5000,36,10.91,B,Jan-18
10,OWN,110000,Source Verified,18.47,0,370500,66610,0,debt_consolidation,12000,36,16.02,C,Feb-18
0,RENT,34000,Source Verified,7.52,15,13609,1848,0,other,4000,36,17.09,D,Jan-18
10,MORTGAGE,54000,Not Verified,40.42,3,405942,164726,0,major_purchase,2000,36,9.44,B,Jan-18
NA,RENT,14400,Verified,45.83,1,29696,21229,0,debt_consolidation,16000,60,16.02,C,Jan-18
1,RENT,43000,Source Verified,26.79,3,47067,26213,0,other,4000,36,13.58,C,Mar-18
6,RENT,64000,Source Verified,7.01,2,27598,4364,0,car,4200,36,7.35,A,Feb-18
10,MORTGAGE,75000,Not Verified,30.62,0,124700,50573,0,debt_consolidation,20000,36,9.43,B,Mar-18
10,MORTGAGE,363000,Source Verified,11.9,4,2006500,224693,0,renewable_energy,40000,36,11.98,B,Mar-18
10,RENT,68000,Source Verified,16.11,0,96017,75964,0,other,10000,60,11.98,B,Mar-18
NA,MORTGAGE,62000,Source Verified,6.7,0,31500,11709,0,debt_consolidation,7500,36,10.91,B,Feb-18
3,RENT,52000,Source Verified,9.23,1,55300,58125,0,other,3625,36,13.59,C,Jan-18
NA,MORTGAGE,60000,Not Verified,23.02,1,508904,55951,0,other,18375,60,10.9,B,Mar-18
2,MORTGAGE,50120,Source Verified,21.41,3,492521,39821,0,debt_consolidation,30000,60,18.45,D,Mar-18
4,MORTGAGE,80000,Verified,16.2,0,194922,18920,0,credit_card,10000,60,13.59,C,Jan-18
0,RENT,37260,Source Verified,24.47,3,97070,89537,0,other,3500,36,18.06,D,Feb-18
10,RENT,128000,Not Verified,12.5,1,91800,51476,0,credit_card,40000,36,6.72,A,Feb-18
10,MORTGAGE,40000,Verified,28.98,0,211896,30937,0,debt_consolidation,20000,60,10.42,B,Jan-18
10,RENT,65000,Not Verified,17.36,3,63968,31198,0,debt_consolidation,8000,36,10.42,B,Jan-18
NA,MORTGAGE,39804,Verified,16.73,7,171088,17888,0,credit_card,5000,36,7.97,A,Feb-18
1,RENT,33000,Verified,34.63,2,65871,36833,0,medical,8000,36,19.42,D,Mar-18
10,MORTGAGE,102000,Verified,32.66,1,281111,76885,0,credit_card,25000,36,6.08,A,Jan-18
2,MORTGAGE,430000,Verified,5.62,4,202701,104744,0,home_improvement,12000,36,5.31,A,Mar-18
10,MORTGAGE,115942,Verified,21.57,2,406670,134052,1,debt_consolidation,34800,36,13.59,C,Feb-18
9,RENT,60000,Source Verified,22.5,1,79599,63284,0,debt_consolidation,20000,36,10.91,B,Jan-18
10,MORTGAGE,81526,Verified,9.23,2,271726,45687,0,debt_consolidation,22000,60,12.61,C,Mar-18
10,MORTGAGE,40000,Source Verified,37.32,3,147059,34968,0,debt_consolidation,16800,36,13.59,C,Jan-18
10,OWN,105000,Source Verified,14.96,4,231470,28858,0,home_improvement,35000,36,18.06,D,Jan-18
2,MORTGAGE,377000,Verified,9.32,10,1370840,47825,0,major_purchase,40000,36,10.9,B,Mar-18
3,RENT,29000,Verified,33.77,0,41539,22878,0,debt_consolidation,12000,36,20,D,Feb-18
NA,MORTGAGE,36000,Verified,18.87,0,124134,17578,0,debt_consolidation,15000,36,7.34,A,Mar-18
10,MORTGAGE,47000,Verified,7.02,2,114550,15747,0,debt_consolidation,22000,36,5.31,A,Mar-18
1,RENT,122000,Source Verified,24.8,1,115703,87244,0,debt_consolidation,16000,36,16.01,C,Mar-18
3,RENT,74300,Source Verified,5.85,0,15530,3989,0,debt_consolidation,6025,36,16.01,C,Mar-18
10,MORTGAGE,94000,Verified,25.94,4,273052,69424,0,debt_consolidation,30000,60,11.99,B,Jan-18
10,OWN,55000,Not Verified,17.7,3,66269,27415,0,credit_card,20000,36,9.44,B,Feb-18
3,OWN,125000,Not Verified,11.29,0,60231,32584,0,debt_consolidation,10000,36,16.01,C,Mar-18
NA,MORTGAGE,36886.32,Not Verified,22.81,2,167786,35745,0,debt_consolidation,5000,36,10.41,B,Mar-18
10,RENT,55000,Verified,28.5,1,77024,51682,0,other,24875,60,24.85,E,Jan-18
9,RENT,100000,Not Verified,5.47,0,22500,17350,0,debt_consolidation,3900,36,9.92,B,Mar-18
8,RENT,98000,Source Verified,8.94,7,52123,41358,0,credit_card,6400,36,10.91,B,Feb-18
10,MORTGAGE,70000,Not Verified,13.49,4,351350,16048,0,home_improvement,16000,36,6.71,A,Mar-18
10,MORTGAGE,115000,Not Verified,30.69,2,265449,189488,0,vacation,12000,36,6.08,A,Feb-18
8,OWN,70000,Not Verified,10.17,1,346058,55423,0,other,10000,36,6.72,A,Feb-18
10,RENT,80000,Not Verified,10.94,1,49021,31842,0,vacation,7000,36,10.42,B,Feb-18
1,MORTGAGE,87000,Verified,26.7,0,457555,120128,0,credit_card,25000,36,7.35,A,Feb-18
0,RENT,46000,Source Verified,12.99,5,87000,104325,0,debt_consolidation,4000,36,17.47,D,Feb-18
2,MORTGAGE,35000,Not Verified,24.77,1,123245,34245,0,debt_consolidation,40000,60,11.99,B,Jan-18
4,MORTGAGE,40000,Verified,21.6,2,60911,54828,0,debt_consolidation,25000,36,15.05,C,Feb-18
8,MORTGAGE,80000,Verified,21.36,2,109888,97648,0,debt_consolidation,26600,60,20.39,D,Mar-18
5,OWN,75000,Not Verified,25.36,7,96393,67618,0,credit_card,17000,36,9.44,B,Jan-18
2,MORTGAGE,70000,Not Verified,2.09,0,327900,4459,0,debt_consolidation,15000,36,5.31,A,Mar-18
3,RENT,48000,Not Verified,20.5,1,41296,32264,0,debt_consolidation,5000,36,12.61,C,Mar-18
10,MORTGAGE,110000,Not Verified,18.58,1,308178,38026,0,debt_consolidation,25000,36,7.34,A,Mar-18
2,RENT,53000,Verified,28.77,2,83695,51941,0,debt_consolidation,12475,60,25.82,E,Jan-18
7,RENT,34000,Not Verified,14.93,1,32142,18296,0,debt_consolidation,15000,36,18.06,D,Jan-18
10,MORTGAGE,90000,Not Verified,14.07,5,156327,26292,0,debt_consolidation,1600,36,9.43,B,Mar-18
10,OWN,130000,Verified,24.17,1,327869,117782,1,credit_card,40000,36,6.07,A,Mar-18
10,MORTGAGE,50000,Verified,59.29,0,375828,87934,0,debt_consolidation,40000,60,20,D,Jan-18
2,MORTGAGE,98000,Verified,28.84,0,386990,69123,0,debt_consolidation,40000,60,7.34,A,Feb-18
2,RENT,67000,Not Verified,9.76,3,88090,110034,0,credit_card,10000,36,10.42,B,Feb-18
10,MORTGAGE,100000,Verified,21.42,0,398885,50295,0,debt_consolidation,40000,60,11.99,B,Jan-18
0,MORTGAGE,63000,Not Verified,16.36,0,263996,13725,0,debt_consolidation,10000,36,7.96,A,Mar-18
0,MORTGAGE,52000,Not Verified,6.71,0,43850,12481,0,debt_consolidation,10000,36,7.34,A,Mar-18
3,RENT,39600,Verified,14.64,0,15800,14287,0,credit_card,14000,60,20,D,Feb-18
10,OWN,65000,Verified,7.22,1,20200,11282,0,debt_consolidation,5175,36,18.45,D,Mar-18
5,OWN,84000,Verified,21.76,3,103621,113065,1,credit_card,8800,36,9.92,B,Mar-18
10,MORTGAGE,106000,Source Verified,19.81,0,243275,52181,0,debt_consolidation,24000,60,12.61,C,Mar-18
8,MORTGAGE,75000,Source Verified,25.36,22,136412,128099,1,debt_consolidation,15000,36,11.99,B,Jan-18
10,RENT,45000,Not Verified,18.43,4,98629,94411,1,debt_consolidation,12800,60,13.58,C,Mar-18
3,MORTGAGE,95000,Not Verified,21.65,0,141109,45516,0,car,4900,36,13.58,C,Mar-18
10,RENT,48000,Not Verified,12.78,0,43048,21004,0,other,4000,36,9.44,B,Feb-18
8,OWN,100000,Source Verified,4.55,3,258500,41835,0,debt_consolidation,40000,36,7.96,A,Mar-18
10,MORTGAGE,38000,Source Verified,31.9,0,225937,21613,1,major_purchase,12000,60,26.77,E,Mar-18
10,RENT,33000,Not Verified,19.71,0,24605,9193,0,debt_consolidation,6000,36,9.92,B,Mar-18
7,MORTGAGE,62200,Not Verified,19.58,0,203900,36705,0,debt_consolidation,26400,60,14.07,C,Mar-18
10,MORTGAGE,285000,Source Verified,20.99,4,519227,143876,0,debt_consolidation,10000,36,6.07,A,Mar-18
10,RENT,45000,Not Verified,14.37,2,42538,29513,0,debt_consolidation,3000,36,16.01,C,Mar-18
3,RENT,70000,Verified,22.48,0,71326,37363,1,credit_card,12500,60,13.58,C,Mar-18
10,MORTGAGE,100000,Not Verified,27.93,1,261246,79695,0,debt_consolidation,39425,60,10.9,B,Mar-18
10,MORTGAGE,70000,Not Verified,16.97,1,106328,40113,0,credit_card,8500,36,13.58,C,Feb-18
4,MORTGAGE,40825,Verified,6.7,7,267513,7705,0,debt_consolidation,15000,60,20,D,Jan-18
10,MORTGAGE,70000,Source Verified,9.55,1,18950,12175,0,credit_card,3000,36,10.41,B,Mar-18
NA,MORTGAGE,42000,Source Verified,30.49,1,91106,26727,0,other,8000,36,6.72,A,Jan-18
6,RENT,45000,Verified,34.53,4,108689,69112,0,debt_consolidation,18000,36,18.06,D,Jan-18
5,MORTGAGE,100000,Not Verified,16.28,2,463313,44272,1,debt_consolidation,8000,36,9.93,B,Jan-18
1,OWN,30000,Not Verified,7.4,1,115998,136552,0,debt_consolidation,6000,36,9.93,B,Feb-18
2,OWN,40000,Source Verified,14.64,2,26411,19599,0,home_improvement,5000,36,12.62,C,Jan-18
0,OWN,50000,Source Verified,16.11,2,61800,23934,0,credit_card,10000,36,13.58,C,Mar-18
10,RENT,75000,Source Verified,18.8,0,44877,36434,0,credit_card,25000,36,15.05,C,Feb-18
2,RENT,200000,Source Verified,7.11,1,49114,22084,0,debt_consolidation,22000,36,9.93,B,Jan-18
4,MORTGAGE,150000,Verified,13.25,1,558733,99509,1,debt_consolidation,16800,36,12.61,C,Mar-18
10,MORTGAGE,100000,Source Verified,25.69,2,621658,94213,0,debt_consolidation,40000,60,10.42,B,Feb-18
10,RENT,38000,Source Verified,17.85,4,33232,22558,0,debt_consolidation,10000,36,17.09,D,Feb-18
0,RENT,35000,Not Verified,26.89,0,69248,49077,0,debt_consolidation,9000,36,7.97,A,Feb-18
NA,RENT,36331,Source Verified,17.01,0,33081,14455,0,debt_consolidation,5000,36,18.06,D,Feb-18
4,MORTGAGE,55000,Source Verified,12.57,0,272880,16543,0,debt_consolidation,23100,60,12.61,C,Mar-18
1,MORTGAGE,93600,Verified,26.54,1,175247,45855,0,debt_consolidation,38450,36,6.07,A,Feb-18
6,MORTGAGE,90000,Source Verified,26.31,5,374821,115292,0,debt_consolidation,40000,60,9.93,B,Feb-18
2,OWN,88000,Not Verified,11.71,0,55600,25836,0,credit_card,21000,36,5.31,A,Mar-18
10,OWN,35000,Not Verified,32.54,0,43213,20213,0,credit_card,15000,36,15.04,C,Mar-18
2,MORTGAGE,110500,Source Verified,18.89,4,359484,68303,0,debt_consolidation,12000,36,13.59,C,Jan-18
NA,RENT,10000,Verified,180.71,1,76700,28402,1,debt_consolidation,35000,36,10.91,B,Jan-18
0,OWN,300000,Source Verified,15.5,2,198006,89042,0,home_improvement,18700,36,7.96,A,Mar-18
7,MORTGAGE,60000,Source Verified,26,7,80053,48604,0,other,8000,36,21.45,D,Jan-18
0,MORTGAGE,39000,Verified,1.29,5,88128,1407,0,debt_consolidation,5000,36,16.01,C,Mar-18
NA,RENT,19700,Not Verified,28.21,0,21680,14425,1,other,1000,36,16.02,C,Jan-18
0,RENT,120000,Source Verified,18.7,7,302193,320142,0,credit_card,20000,36,12.62,C,Feb-18
10,RENT,100000,Source Verified,29.22,2,117091,98224,0,debt_consolidation,20000,36,15.04,C,Mar-18
2,RENT,70000,Source Verified,27.12,0,88993,51987,0,major_purchase,30000,60,13.58,C,Mar-18
10,OWN,34500,Not Verified,17.6,0,85900,17335,0,debt_consolidation,5500,36,6.71,A,Mar-18
5,RENT,73000,Not Verified,17.75,0,71684,44532,0,debt_consolidation,14000,60,9.93,B,Jan-18
4,OWN,42000,Source Verified,11.82,1,153683,9981,0,debt_consolidation,11000,60,15.05,C,Feb-18
10,MORTGAGE,170000,Not Verified,4.21,1,217773,14700,0,house,4200,36,9.43,B,Mar-18
10,OWN,100000,Not Verified,10.69,0,88960,68333,0,debt_consolidation,30000,60,11.99,B,Mar-18
4,RENT,83000,Source Verified,12.84,1,124408,83737,1,other,10000,60,9.93,B,Jan-18
10,MORTGAGE,90000,Source Verified,16.25,3,76659,49179,0,debt_consolidation,11900,60,11.98,B,Mar-18
10,OWN,55000,Source Verified,17.3,0,38489,26028,0,debt_consolidation,15000,60,17.09,D,Feb-18
10,MORTGAGE,38000,Source Verified,36.86,4,205145,55041,0,home_improvement,5000,36,9.44,B,Jan-18
10,OWN,51000,Source Verified,34.19,1,110439,61801,0,debt_consolidation,15000,36,9.93,B,Feb-18
2,RENT,68640,Verified,22.8,1,122566,107012,0,debt_consolidation,26750,60,20,D,Feb-18
10,MORTGAGE,67000,Not Verified,8.8,4,136002,22667,0,credit_card,6000,36,5.31,A,Feb-18
10,OWN,48000,Source Verified,26.4,0,59731,41867,1,credit_card,10000,36,12.62,C,Jan-18
10,OWN,30000,Verified,32.58,0,41914,15566,0,house,17100,60,23.88,E,Jan-18
9,OWN,75000,Source Verified,30.69,1,102811,68689,0,credit_card,3500,36,7.34,A,Mar-18
2,RENT,45000,Not Verified,9.15,1,26930,8198,0,debt_consolidation,5000,36,7.34,A,Mar-18
5,MORTGAGE,120000,Not Verified,12.99,8,298232,105006,0,credit_card,6750,36,7.96,A,Mar-18
10,OWN,75000,Source Verified,2.94,0,448300,148,0,home_improvement,16000,60,9.43,B,Mar-18
NA,MORTGAGE,83740,Verified,23.99,1,270258,43027,0,debt_consolidation,35000,36,15.04,C,Mar-18
10,RENT,80000,Not Verified,23.41,0,75955,27358,0,other,15000,36,11.99,B,Feb-18
1,RENT,90000,Not Verified,5.01,5,10952,9240,0,debt_consolidation,20000,36,13.58,C,Mar-18
2,MORTGAGE,78000,Verified,18.12,4,209410,37449,1,debt_consolidation,20000,60,25.82,E,Feb-18
10,OWN,600000,Source Verified,5.26,0,746363,201624,0,home_improvement,15000,36,5.32,A,Feb-18
6,MORTGAGE,40000,Not Verified,18.03,2,50275,22508,0,debt_consolidation,15000,36,10.91,B,Jan-18
7,RENT,57500,Source Verified,1.98,1,59562,39608,0,credit_card,21000,36,6.71,A,Mar-18
2,MORTGAGE,42000,Source Verified,26.83,2,154201,47019,0,medical,3000,36,12.61,C,Mar-18
6,MORTGAGE,120000,Source Verified,31.71,1,194209,94554,0,credit_card,27000,36,16.01,C,Mar-18
9,MORTGAGE,100000,Source Verified,21.72,2,187776,84389,0,debt_consolidation,15000,60,21.45,D,Jan-18
0,RENT,70000,Source Verified,14.63,0,184552,176106,0,debt_consolidation,14400,36,14.07,C,Mar-18
NA,MORTGAGE,48000,Not Verified,17.25,0,424400,26965,0,other,20000,60,7.34,A,Feb-18
1,RENT,36240,Source Verified,22.75,8,33557,23521,0,debt_consolidation,3000,36,18.45,D,Mar-18
NA,MORTGAGE,24000,Verified,8.2,18,196305,1769,0,debt_consolidation,2700,36,22.91,E,Jan-18
4,MORTGAGE,74000,Verified,23.81,4,250955,51811,0,debt_consolidation,25000,60,19.42,D,Mar-18
3,MORTGAGE,120000,Verified,8.92,6,550400,79242,0,home_improvement,25000,60,7.35,A,Jan-18
10,OWN,132500,Verified,8.45,2,230200,38545,0,small_business,40000,60,9.44,B,Jan-18
2,RENT,35000,Not Verified,21.47,1,45554,20858,1,credit_card,7000,36,7.97,A,Jan-18
0,RENT,58000,Not Verified,17.76,4,201092,20608,0,credit_card,16000,36,17.47,D,Mar-18
5,MORTGAGE,144000,Not Verified,17.72,1,630813,429919,0,other,3000,36,16.02,C,Feb-18
10,RENT,64000,Not Verified,16.33,1,88231,30251,0,debt_consolidation,8500,36,20.39,D,Mar-18
2,RENT,46000,Source Verified,4.51,3,42232,41199,0,moving,1800,36,7.96,A,Mar-18
10,MORTGAGE,80000,Not Verified,16.6,1,232567,44543,1,debt_consolidation,20000,60,18.45,D,Mar-18
10,MORTGAGE,57000,Source Verified,33.71,2,468482,44550,0,debt_consolidation,25000,60,7.34,A,Mar-18
3,RENT,59000,Not Verified,24.93,2,95131,32894,0,debt_consolidation,22000,60,10.9,B,Feb-18
10,MORTGAGE,120000,Not Verified,15.35,4,327474,51669,0,debt_consolidation,35000,36,12.62,C,Feb-18
10,OWN,75000,Source Verified,23.48,2,243409,61809,0,debt_consolidation,30000,60,24.84,E,Mar-18
4,MORTGAGE,250000,Source Verified,13.95,7,169328,138250,0,debt_consolidation,30000,60,21.85,D,Mar-18
10,MORTGAGE,175000,Not Verified,4.98,1,471843,19987,0,home_improvement,10000,36,6.72,A,Feb-18
2,MORTGAGE,140000,Source Verified,16.15,8,361604,78656,0,credit_card,28000,36,10.42,B,Jan-18
2,MORTGAGE,28500,Verified,39.83,6,269963,40812,0,credit_card,6500,36,6.71,A,Mar-18
3,RENT,52000,Verified,2.86,1,10700,2157,0,major_purchase,25000,60,11.98,B,Mar-18
1,RENT,24000,Source Verified,15.5,1,14630,11024,0,credit_card,4000,36,16.02,C,Jan-18
2,RENT,18000,Source Verified,25.33,1,46625,8815,0,debt_consolidation,8500,36,12.61,C,Mar-18
4,RENT,138900,Source Verified,7.74,1,54120,36814,1,debt_consolidation,38500,60,11.99,B,Jan-18
10,OWN,81257.8,Verified,32.98,2,582556,428154,0,other,29900,36,19.42,D,Mar-18
5,OWN,152000,Not Verified,9.79,2,74800,46999,0,other,24000,36,15.05,C,Jan-18
10,OWN,75000,Source Verified,12.49,2,27900,16270,0,debt_consolidation,20000,60,26.3,E,Feb-18
5,RENT,34113,Source Verified,14.07,0,22800,14708,0,debt_consolidation,15000,60,17.09,D,Feb-18
5,MORTGAGE,125000,Source Verified,22.6,1,420539,90792,0,debt_consolidation,30000,60,16.02,C,Jan-18
7,MORTGAGE,120000,Source Verified,23.82,1,157133,114822,0,small_business,20000,36,7.35,A,Jan-18
9,MORTGAGE,204000,Source Verified,15.2,3,591192,105477,0,debt_consolidation,40000,36,6.07,A,Mar-18
10,MORTGAGE,90000,Verified,9.67,0,289741,41799,1,credit_card,15000,36,6.72,A,Feb-18
1,MORTGAGE,70200,Source Verified,22.77,0,223462,53628,0,debt_consolidation,6000,36,18.45,D,Mar-18
NA,OWN,65000,Verified,34.02,4,126347,86162,0,debt_consolidation,5000,36,20,D,Jan-18
3,MORTGAGE,130000,Verified,28.15,1,160068,79704,0,home_improvement,36000,60,12.62,C,Feb-18
5,MORTGAGE,30000,Source Verified,25.64,1,138002,16246,0,debt_consolidation,15000,60,9.93,B,Feb-18
NA,OWN,5208,Verified,96.77,1,14800,9205,1,debt_consolidation,7000,36,9.43,B,Mar-18
10,RENT,105000,Not Verified,12.41,2,58396,28997,0,debt_consolidation,12000,36,9.43,B,Mar-18
10,RENT,70000,Verified,5.81,3,269250,83591,0,debt_consolidation,11000,36,7.34,A,Feb-18
3,RENT,39000,Verified,13.72,1,28800,12744,1,credit_card,16000,36,12.61,C,Mar-18
0,MORTGAGE,88000,Not Verified,18.32,1,457283,46079,0,credit_card,16800,36,7.97,A,Feb-18
0,RENT,55000,Source Verified,7.88,6,24438,15758,0,debt_consolidation,4800,36,17.47,D,Mar-18
6,OWN,90000,Not Verified,19.45,0,412400,42222,0,credit_card,22000,36,14.08,C,Jan-18
NA,MORTGAGE,14928,Verified,11.58,1,114672,705,1,debt_consolidation,4600,36,19.42,D,Mar-18
10,MORTGAGE,86000,Not Verified,15.94,5,376430,16747,0,debt_consolidation,18000,36,6.72,A,Jan-18
9,MORTGAGE,32500,Not Verified,52.22,3,304578,67494,0,home_improvement,12000,36,11.99,B,Jan-18
10,MORTGAGE,164200,Source Verified,12.91,5,509031,60736,0,debt_consolidation,15000,60,19.42,D,Mar-18
3,MORTGAGE,65000,Source Verified,29.16,1,287314,92796,0,debt_consolidation,30000,60,28.72,F,Feb-18
1,OWN,93844,Not Verified,24.54,3,315880,198889,0,home_improvement,16000,60,19.42,D,Mar-18
10,MORTGAGE,82000,Source Verified,22.64,1,184750,172107,0,home_improvement,30000,60,12.61,C,Mar-18
0,MORTGAGE,150000,Source Verified,9.02,4,191277,40957,0,moving,24000,60,9.44,B,Jan-18
10,MORTGAGE,70000,Not Verified,23.4,0,269852,51650,0,credit_card,10800,60,13.58,C,Mar-18
3,RENT,24000,Verified,21.15,4,45143,20255,0,other,19000,60,21.85,D,Mar-18
8,RENT,200000,Verified,11.27,1,84487,53781,1,major_purchase,28350,36,12.62,C,Jan-18
1,RENT,50000,Not Verified,6.02,0,9900,5638,0,credit_card,2000,36,14.07,C,Mar-18
10,MORTGAGE,69000,Not Verified,18.87,3,329200,22556,1,credit_card,22000,36,6.72,A,Feb-18
6,RENT,885000,Source Verified,2.22,0,84709,57448,1,other,7000,36,14.08,C,Jan-18
10,MORTGAGE,72000,Source Verified,3.99,2,206914,3755,0,other,10000,60,9.43,B,Mar-18
10,MORTGAGE,35000,Not Verified,32,2,49800,18261,0,debt_consolidation,5000,36,16.01,C,Mar-18
10,MORTGAGE,72000,Not Verified,9.13,2,23400,13222,1,other,4000,36,10.41,B,Mar-18
5,MORTGAGE,92000,Verified,50.91,0,639438,172642,0,credit_card,19325,60,13.59,C,Jan-18
10,OWN,93707,Verified,14.11,0,713320,37520,0,credit_card,12000,36,11.99,B,Feb-18
2,MORTGAGE,64000,Not Verified,28.91,3,224708,51598,0,debt_consolidation,2000,36,10.42,B,Jan-18
2,OWN,44500,Source Verified,38.78,0,79900,41485,0,credit_card,12800,36,18.06,D,Jan-18
2,MORTGAGE,83000,Verified,10.57,7,210025,18170,0,medical,7000,36,6.71,A,Mar-18
4,RENT,47800,Source Verified,19.46,0,42196,24873,0,credit_card,8000,36,13.59,C,Feb-18
2,MORTGAGE,62000,Source Verified,16.22,0,116024,25494,0,debt_consolidation,25000,60,21.45,D,Mar-18
NA,OWN,90000,Verified,31.77,0,175947,112789,0,other,8000,36,15.05,C,Feb-18
10,MORTGAGE,140000,Not Verified,8.24,0,341211,116611,0,home_improvement,40000,60,7.35,A,Jan-18
10,OWN,74000,Verified,22.75,1,78016,58273,0,credit_card,20000,60,17.47,D,Mar-18
8,RENT,60000,Not Verified,22.8,1,109200,42529,0,debt_consolidation,10975,36,6.07,A,Mar-18
5,MORTGAGE,110000,Not Verified,31.88,1,336293,143938,0,debt_consolidation,7800,36,21.45,D,Jan-18
1,MORTGAGE,60000,Verified,24.56,0,41000,27781,0,debt_consolidation,20000,60,26.3,E,Feb-18
3,MORTGAGE,80000,Not Verified,4.68,2,394523,5002,0,major_purchase,10000,36,7.97,A,Feb-18
8,RENT,42000,Source Verified,26.69,5,53751,21608,0,debt_consolidation,10000,36,16.02,C,Jan-18
10,OWN,33600,Verified,28.04,2,104869,19574,0,credit_card,7500,36,14.08,C,Jan-18
5,OWN,60000,Source Verified,1.2,2,18000,3619,0,credit_card,10000,60,11.99,B,Feb-18
3,MORTGAGE,40000,Source Verified,16.56,1,78117,69894,0,credit_card,15700,60,17.09,D,Jan-18
NA,RENT,25000,Not Verified,4.03,0,14200,2812,0,debt_consolidation,25600,60,17.09,D,Feb-18
2,RENT,29760,Source Verified,48.47,1,70872,49869,0,debt_consolidation,24600,36,26.3,E,Feb-18
7,RENT,56000,Not Verified,17.27,0,207777,21316,0,debt_consolidation,8300,36,6.07,A,Mar-18
2,RENT,125000,Not Verified,17.52,2,220941,140301,0,debt_consolidation,18000,60,7.96,A,Feb-18
2,RENT,53000,Not Verified,30.62,1,70006,44274,0,debt_consolidation,7500,36,17.09,D,Jan-18
10,RENT,60000,Source Verified,6.86,4,54175,6316,0,other,20400,36,6.07,A,Mar-18
